Kend,year,month,day,hour,localHour,dayTime,MP1rms,MP1rms_Smoothed,NMRI_Proxy,NMRI_Proxy_smoothed,maximum_MP1rms
,21,6,30,0,17,180.71,0.247908,,0.447202767,,0.448461
31.73643,21,6,30,1,18,180.75,0.178875,,0.601135885,,
-109.941989,21,6,30,2,19,180.79,0.36974,,0.175535888,,
,21,6,30,3,20,180.83,0.368384,,0.178559563,,
,21,6,30,4,21,180.88,0.365119,,0.185840017,,
,21,6,30,5,22,180.92,0.225804,,0.496491334,,
,21,6,30,6,23,180.96,0.218038,0.267294875,0.513808336,0.403972976,
,21,6,30,7,0,180.00,0.21873,0.2674465,0.512265281,0.403634876,
,21,6,30,8,1,180.04,0.248078,0.268656292,0.446823693,0.400937224,
,21,6,30,9,2,180.08,0.231422,0.267956375,0.483964046,0.402497932,
,21,6,30,10,3,180.13,0.151823,0.266694,0.661457741,0.405312837,
,21,6,30,11,4,180.17,0.362471,0.266924292,0.191744656,0.404799321,
,21,6,30,12,5,180.21,0.226286,0.266172,0.495416547,0.406476817,
,21,6,30,13,6,180.25,0.272705,0.266468125,0.391909218,0.405816504,
,21,6,30,14,7,180.29,0.296545,0.266622417,0.338749635,0.405472457,
,21,6,30,15,8,180.33,0.272478,0.266552458,0.392415394,0.405628453,
,21,6,30,16,9,180.38,0.209083,0.26712125,0.533776627,0.404360134,
,21,6,30,17,10,180.42,0.281797,0.266756583,0.371635438,0.405173285,
,21,6,30,18,11,180.46,0.235376,0.26712475,0.475147226,0.404352329,
,21,6,30,19,12,180.50,0.154451,0.267291333,0.6555977,0.403980874,
,21,6,30,20,13,180.54,0.282449,0.267112,0.370181577,0.40438076,
,21,6,30,21,14,180.58,0.281749,0.267190792,0.37174247,0.404205067,
,21,6,30,22,15,180.63,0.314235,0.267285625,0.299303618,0.403993603,
,21,6,30,23,16,180.67,0.401531,0.267499917,0.104646781,0.403515765,
,21,7,1,0,17,181.71,0.251547,0.267290917,0.439088349,0.403981803,
,21,7,1,1,18,181.75,0.20791,0.267337875,0.536392239,0.403877093,
,21,7,1,2,19,181.79,0.352942,0.267554542,0.21299288,0.403393959,
,21,7,1,3,20,181.83,0.338087,0.268167125,0.246117277,0.402027991,
,21,7,1,4,21,181.88,0.370646,0.268582,0.173515646,0.401102883,
,21,7,1,5,22,181.92,0.207749,0.268715292,0.536751245,0.400805663,
,21,7,1,6,23,181.96,0.225145,0.268716333,0.497960804,0.40080334,
,21,7,1,7,0,181.00,0.222433,0.267983125,0.504008152,0.402438283,
,21,7,1,8,1,181.04,0.246399,0.268641125,0.450567608,0.400971043,
,21,7,1,9,2,181.08,0.245073,0.267194625,0.453524387,0.404196519,
,21,7,1,10,3,181.13,0.143071,0.2650965,0.680973373,0.408875019,
,21,7,1,11,4,181.17,0.371307,0.261572,0.172041716,0.41673412,
,21,7,1,12,5,181.21,0.230284,0.260843958,0.486501613,0.418357542,
,21,7,1,13,6,181.25,0.268401,0.260538292,0.401506486,0.419039132,
,21,7,1,14,7,181.29,0.298436,0.259525458,0.334532992,0.421297597,
,21,7,1,15,8,181.33,0.274754,0.258857083,0.387340259,0.422787972,
,21,7,1,16,9,181.38,0.214226,0.258010458,0.522308517,0.424675817,
,21,7,1,17,10,181.42,0.276781,0.25836825,0.382820357,0.423877996,
,21,7,1,18,11,181.46,0.236503,0.256656667,0.472634187,0.427694567,
,21,7,1,19,12,181.50,0.159651,0.256453708,0.644002489,0.428147134,
,21,7,1,20,13,181.54,0.297151,0.255476,0.337398347,0.430327275,
,21,7,1,21,14,181.58,0.291706,0.255140875,0.349539871,0.431074553,
,21,7,1,22,15,181.63,0.317434,0.254779333,0.292170334,0.431880736,
,21,7,1,23,16,181.67,0.401556,0.254556333,0.104591035,0.432377992,
,21,7,2,0,17,182.71,0.23395,0.254824167,0.478326989,0.431780764,
,21,7,2,1,18,182.75,0.223702,0.25479525,0.501178475,0.431845244,
,21,7,2,2,19,182.79,0.318226,0.25536975,0.290404294,0.430564196,
,21,7,2,3,20,182.83,0.287732,0.256005708,0.358401288,0.429146106,
,21,7,2,4,21,182.88,0.286058,0.255247083,0.362134054,0.430837724,
,21,7,2,5,22,182.92,0.190276,0.255223292,0.575713384,0.430890776,
,21,7,2,6,23,182.96,0.217809,0.255205083,0.514318971,0.430931378,
,21,7,2,7,0,182.00,0.198125,0.256080042,0.558211305,0.428980354,
,21,7,2,8,1,182.04,0.230358,0.257148958,0.486336605,0.426596832,
,21,7,2,9,2,182.08,0.224754,0.258790833,0.498832674,0.422935699,
,21,7,2,10,3,182.13,0.151658,0.260393167,0.661825666,0.419362739,
,21,7,2,11,4,182.17,0.330229,0.262109375,0.263639425,0.415535855,
,21,7,2,12,5,182.21,0.225413,0.26213275,0.497363204,0.415483732,
,21,7,2,13,6,182.25,0.244936,0.263130417,0.453829876,0.413259087,
,21,7,2,14,7,182.29,0.290393,0.264116667,0.352467662,0.411059899,
,21,7,2,15,8,182.33,0.266077,0.264694625,0.406688653,0.40977114,
,21,7,2,16,9,182.38,0.208874,0.264686958,0.534242665,0.409788235,
,21,7,2,17,10,182.42,0.283209,0.265150708,0.368486892,0.408754143,
,21,7,2,18,11,182.46,0.235809,0.266449292,0.474181701,0.405858499,
,21,7,2,19,12,182.50,0.173439,0.267502625,0.61325734,0.403509725,
,21,7,2,20,13,182.54,0.312414,0.266932667,0.303364172,0.404780646,
,21,7,2,21,14,182.58,0.273499,0.2673595,0.390138719,0.403828873,
,21,7,2,22,15,182.63,0.316863,0.267645083,0.293443577,0.403192065,
,21,7,2,23,16,182.67,0.401119,0.268192417,0.105565478,0.401971595,
,21,7,3,0,17,183.71,0.254949,0.268179792,0.431502405,0.401999747,
,21,7,3,1,18,183.75,0.249356,0.267541167,0.443973946,0.403423783,
,21,7,3,2,19,183.79,0.357631,0.267990042,0.202537121,0.40242286,
,21,7,3,3,20,183.83,0.326188,0.268872458,0.272650242,0.400455205,
,21,7,3,4,21,183.88,0.327247,0.267864,0.270288832,0.402703914,
,21,7,3,5,22,183.92,0.190837,0.267639917,0.574462439,0.403203586,
,21,7,3,6,23,183.96,0.241753,0.267070083,0.460927483,0.404474228,
,21,7,3,7,0,183.00,0.221795,0.266957208,0.505430796,0.404725922,
,21,7,3,8,1,183.04,0.244229,0.267561667,0.455406379,0.403378072,
,21,7,3,9,2,183.08,0.22457,0.267761917,0.499242967,0.402931544,
,21,7,3,10,3,183.13,0.162788,0.2677505,0.637007454,0.402957002,
,21,7,3,11,4,183.17,0.361395,0.267438833,0.194143972,0.403651971,
,21,7,3,12,5,183.21,0.250693,0.267309458,0.440992639,0.403940458,
,21,7,3,13,6,183.25,0.231257,0.267334125,0.484331971,0.403885455,
,21,7,3,14,7,183.29,0.300637,0.2674155,0.329625096,0.403704001,
